V61 polished poses (vs V60 world targets)
====================================================================================================
name                       q1        q2        q3        q4        q5        q6        target(x,y,z)         actual(x,y,z)         err(mm) status
POSE_HOME                  +0.000 +0.000 +0.000 +1.571 -1.571 +0.000 (+1.469,+0.869,+1.451) (+1.469,+0.869,+1.451)    0.000 OK
POSE_APPROACH_CONVEYOR     +0.965 -1.194 -0.134 +1.273 -0.626 -0.267 (+1.551,+1.400,+1.182) (+1.551,+1.400,+1.182)    0.019 OK
POSE_PICK_CONVEYOR         +0.967 -1.421 -0.058 +1.220 -0.633 -0.258 (+1.547,+1.395,+1.053) (+1.547,+1.395,+1.053)    0.018 OK
POSE_LIFT_CONVEYOR         +0.960 -1.137 -0.141 +1.266 -0.604 -0.278 (+1.552,+1.401,+1.215) (+1.552,+1.401,+1.215)    0.019 OK
POSE_APPROACH_LOAD_FIXTURE +2.827 -0.892 +0.195 +1.212 -1.571 -0.785 (+0.948,+1.135,+1.205) (+0.975,+1.173,+1.184)   51.231 FAIL
POSE_PLACE_LOAD_FIXTURE    +2.948 -0.830 +0.764 +0.768 -1.571 -0.785 (+0.952,+1.132,+1.084) (+0.952,+1.132,+1.084)    0.040 OK
POSE_RELEASE_LOAD_FIXTURE  +2.948 -0.783 +0.753 +0.786 -1.571 -0.785 (+0.951,+1.132,+1.105) (+0.951,+1.132,+1.105)    0.041 OK
POSE_RETREAT_LOAD_FIXTURE  +2.948 -0.569 +0.667 +0.831 -1.571 -0.785 (+0.947,+1.132,+1.211) (+0.947,+1.133,+1.211)    0.051 OK
POSE_APPROACH_PICK_RIVETED +2.948 -0.569 +0.667 +0.831 -1.571 -0.785 (+0.947,+1.132,+1.211) (+0.947,+1.133,+1.211)    0.051 OK
POSE_PICK_RIVETED          +2.948 -0.829 +0.765 +0.767 -1.571 -0.785 (+0.952,+1.132,+1.084) (+0.952,+1.132,+1.084)    0.039 OK
POSE_LIFT_RIVETED          +2.948 -0.513 +0.632 +0.829 -1.571 -0.785 (+0.946,+1.133,+1.244) (+0.946,+1.133,+1.244)    0.055 OK
POSE_APPROACH_VISION       +3.142 -1.564 -0.141 +0.591 -0.078 -1.101 (+0.717,+0.801,+1.176) (+0.709,+0.912,+1.180)  111.155 FAIL
POSE_PLACE_VISION          +0.391 +1.364 -0.812 +1.075 +0.449 -0.876 (+0.721,+0.776,+1.011) (+0.721,+0.776,+1.011)    0.025 OK
POSE_RELEASE_VISION        -0.065 +1.697 +0.715 +3.142 -1.571 +3.050 (+0.713,+0.802,+1.078) (+0.819,+0.895,+1.042)  145.915 FAIL
POSE_RETREAT_VISION        +0.015 +1.527 +0.794 +3.142 -1.839 +2.730 (+0.725,+0.787,+1.179) (+0.829,+0.791,+1.149)  108.212 FAIL
POSE_APPROACH_ACCEPT_BIN   -0.157 -2.069 -1.990 +1.422 -2.094 +0.222 (+1.690,+0.705,+1.147) (+1.690,+0.705,+1.147)    0.034 OK
POSE_DROP_ACCEPT_BIN       -0.387 -1.486 -0.130 +1.087 -1.571 +0.155 (+1.675,+0.703,+0.986) (+1.675,+0.703,+0.986)    0.075 OK
POSE_APPROACH_REJECT_BIN   +0.881 +0.838 -1.160 +3.049 -1.986 +0.331 (+1.360,+0.716,+1.165) (+1.360,+0.716,+1.165)    0.026 OK
POSE_DROP_REJECT_BIN       +1.196 +1.338 -0.590 +3.021 -1.571 +0.160 (+1.350,+0.732,+1.039) (+1.349,+0.732,+1.039)    0.531 OK
